underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1560.0,30-06-2026,CALL,0.05,0.05,1.5,0,11,0.38530000000000003,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.775
ICICIBANK,1387,1560.0,30-06-2026,PUT,0.0,167.0,180.25,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,173.625
ICICIBANK,1387,1040.0,28-07-2026,CALL,325.65,344.7,362.85,0,2,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,353.775
ICICIBANK,1387,1040.0,28-07-2026,PUT,0.0,0.05,2.55,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,1.2999999999999998
ICICIBANK,1387,1060.0,28-07-2026,CALL,0.0,325.05,343.05,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,334.05
ICICIBANK,1387,1060.0,28-07-2026,PUT,2.25,0.1,1.65,0,4,0.3892,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,0.875
ICICIBANK,1387,1080.0,28-07-2026,CALL,0.0,305.35,323.35,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,314.35
ICICIBANK,1387,1080.0,28-07-2026,PUT,0.0,0.25,19.9,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,10.075
ICICIBANK,1387,1100.0,28-07-2026,CALL,0.0,285.65,303.8,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,294.725
ICICIBANK,1387,1100.0,28-07-2026,PUT,0.45,0.45,0.6,57,47,0.34630000000000005,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,0.525
ICICIBANK,1387,1110.0,28-07-2026,CALL,0.0,275.75,293.75,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,284.75
ICICIBANK,1387,1110.0,28-07-2026,PUT,0.0,0.35,5.95,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,3.15
ICICIBANK,1387,1120.0,28-07-2026,CALL,0.0,265.95,284.0,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,274.975
ICICIBANK,1387,1120.0,28-07-2026,PUT,0.7,0.65,0.85,87,42,0.3431,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,0.75
ICICIBANK,1387,1130.0,28-07-2026,CALL,0.0,256.0,274.15,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-07-28,2026-06-25 22:13:51.738128,0.08767123287671233,0.07,0.02,265.075
